0,1,2,3,4
IQ:0,0,11,83,144
IQ:1,8,11,131,-113
IQ:2,16,11,-116,-119
IQ:3,24,11,-113,134
IQ:4,32,11,143,95
IQ:5,40,11,79,-155
IQ:6,48,11,-168,-59
IQ:7,56,11,-62,164
IQ:8,72,12,54,-146
IQ:9,80,255,-163,-45
IQ:10,88,1,-55,177
IQ:11,96,255,185,11
IQ:12,104,2,-10,-247
IQ:13,112,255,-216,6
IQ:14,120,10,68,193
IQ:15,128,255,199,-61
IQ:16,136,3,-61,-173
IQ:17,144,255,-159,40
IQ:18,152,9,34,39
IQ:19,160,255,59,-104
IQ:20,168,4,-131,-149
IQ:21,176,255,-153,119
IQ:22,184,8,9,96
IQ:23,192,255,42,-68
IQ:24,200,7,-193,-43
IQ:25,208,255,-54,196
IQ:26,216,6,168,70
IQ:27,224,255,44,-172
IQ:28,232,5,-162,-28
IQ:29,240,255,-6,159
IQ:30,248,12,153,-24
IQ:31,256,255,-56,-156
IQ:32,264,1,-166,71
IQ:33,272,255,100,157
IQ:34,280,2,194,-142
IQ:35,288,255,-115,-177
IQ:0,0,11,-54,-148
IQ:1,8,11,-140,71
IQ:2,16,11,78,127
IQ:3,24,11,123,-105
IQ:4,32,11,-98,-126
IQ:5,40,11,-111,109
IQ:6,48,11,129,94
IQ:7,56,11,80,-131
IQ:8,72,12,-153,57
IQ:9,80,255,28,134
IQ:10,88,1,60,1
IQ:11,96,255,4,-15
IQ:12,104,2,69,95
IQ:13,112,255,101,-48
IQ:14,120,10,-91,-75
IQ:15,128,255,-110,59
IQ:16,136,3,10,37
IQ:17,144,255,43,-30
IQ:18,152,9,-44,-20
IQ:19,160,255,-65,44
IQ:20,168,4,-4,37
IQ:21,176,255,36,-24
IQ:22,184,8,-58,-48
IQ:23,192,255,-37,80
IQ:24,200,7,150,56
IQ:25,208,255,78,-127
IQ:26,216,6,-87,-57
IQ:27,224,255,-73,85
IQ:28,232,5,37,86
IQ:29,240,255,39,-77
IQ:30,248,12,-147,-100
IQ:31,256,255,-94,103
IQ:32,264,1,33,52
IQ:33,272,255,7,-17
IQ:34,280,2,-54,102
IQ:35,288,255,120,68
IQ:0,0,11,-146,113
IQ:1,8,11,129,130
IQ:2,16,11,115,-145
IQ:3,24,11,-152,-91
IQ:4,32,11,-84,169
IQ:5,40,11,168,72
IQ:6,48,11,67,-176
IQ:7,56,11,-173,-44
IQ:8,72,12,176,64
IQ:9,80,255,80,-170
IQ:10,88,1,-77,-76
IQ:11,96,255,-29,70
IQ:12,104,2,90,-67
IQ:13,112,255,-92,-108
IQ:14,120,10,-150,98
IQ:15,128,255,76,169
IQ:16,136,3,112,-24
IQ:17,144,255,-46,-86
IQ:18,152,9,-65,83
IQ:19,160,255,97,98
IQ:20,168,4,113,-10
IQ:21,176,255,-51,-51
IQ:22,184,8,-46,100
IQ:23,192,255,116,11
IQ:24,200,7,-33,-191
IQ:25,208,255,-199,25
IQ:26,216,6,-17,153
IQ:27,224,255,180,4
IQ:28,232,5,37,-177
IQ:29,240,255,-156,7
IQ:30,248,12,35,186
IQ:31,256,255,183,-11
IQ:32,264,1,25,-107
IQ:33,272,255,-73,15
IQ:34,280,2,103,45
IQ:35,288,255,35,-134
IQ:0,0,11,-184,-15
IQ:1,8,11,-2,180
IQ:2,16,11,179,-34
IQ:3,24,11,-45,-171
IQ:4,32,11,-183,41
IQ:5,40,11,65,164
IQ:6,48,11,162,-89
IQ:7,56,11,-97,-151
IQ:8,72,12,72,169
IQ:9,80,255,168,-72
IQ:10,88,1,-6,-113
IQ:11,96,255,-66,32
IQ:12,104,2,107,23
IQ:13,112,255,22,-139
IQ:14,120,10,-181,-24
IQ:15,128,255,-65,179
IQ:16,136,3,98,73
IQ:17,144,255,29,-92
IQ:18,152,9,-111,15
IQ:19,160,255,-7,140
IQ:20,168,4,78,73
IQ:21,176,255,1,-77
IQ:22,184,8,-107,61
IQ:23,192,255,85,86
IQ:24,200,7,107,-164
IQ:25,208,255,-166,-120
IQ:26,216,6,-115,101
IQ:27,224,255,125,121
IQ:28,232,5,151,-95
IQ:29,240,255,-111,-101
IQ:30,248,12,-96,171
IQ:31,256,255,154,112
IQ:32,264,1,91,-60
IQ:33,272,255,-64,-43
IQ:34,280,2,36,104
IQ:35,288,255,113,-75
IQ:0,0,11,-165,-73
IQ:1,8,11,-63,161
IQ:2,16,11,166,46
IQ:3,24,11,14,-161
IQ:4,32,11,-173,-6
IQ:5,40,11,29,159
IQ:6,48,11,176,-39
IQ:7,56,11,-31,-168
IQ:8,72,12,38,152
IQ:9,80,255,148,-63
IQ:10,88,1,-76,-171
IQ:11,96,255,-160,93
IQ:12,104,2,146,186
IQ:13,112,255,170,-123
IQ:14,120,10,-155,-119
IQ:15,128,255,-116,159
IQ:16,136,3,164,89
IQ:17,144,255,109,-127
IQ:18,152,9,-48,-23
IQ:19,160,255,8,116
IQ:20,168,4,184,49
IQ:21,176,255,67,-190
IQ:22,184,8,-56,-89
IQ:23,192,255,-4,71
IQ:24,200,7,184,-78
IQ:25,208,255,-67,-197
IQ:26,216,6,-163,50
IQ:27,224,255,74,157
IQ:28,232,5,146,-73
IQ:29,240,255,-90,-131
IQ:30,248,12,-126,94
IQ:31,256,255,122,99
IQ:32,264,1,94,-154
IQ:33,272,255,-175,-83
IQ:34,280,2,-99,215
IQ:35,288,255,181,87
IQ:0,0,11,46,146
IQ:1,8,11,138,-74
IQ:2,16,11,-100,-128
IQ:3,24,11,-127,101
IQ:4,32,11,110,109
IQ:5,40,11,110,-112
IQ:6,48,11,-122,-109
IQ:7,56,11,-85,130
IQ:8,72,12,162,-65
IQ:9,80,255,-31,-142
IQ:10,88,1,-69,-7
IQ:11,96,255,7,19
IQ:12,104,2,-71,-98
IQ:13,112,255,-101,49
IQ:14,120,10,92,84
IQ:15,128,255,119,-53
IQ:16,136,3,-12,-43
IQ:17,144,255,-47,28
IQ:18,152,9,39,41
IQ:19,160,255,63,-43
