0,1,2,3,4
IQ:0,0,11,-97,-114
IQ:1,8,11,-86,84
IQ:2,16,11,169,57
IQ:3,24,11,51,-182
IQ:4,32,11,-150,-84
IQ:5,40,11,-55,127
IQ:6,48,11,127,17
IQ:7,56,11,-9,-127
IQ:8,72,12,141,162
IQ:9,80,255,150,-20
IQ:10,88,1,-34,-11
IQ:11,96,255,-5,40
IQ:12,104,2,-44,-1
IQ:13,112,255,-15,-31
IQ:14,120,10,-54,-105
IQ:15,128,255,-117,41
IQ:16,136,3,-104,39
IQ:17,144,255,-36,6
IQ:18,152,9,-88,-124
IQ:19,160,255,-159,71
IQ:20,168,4,-48,87
IQ:21,176,255,34,-4
IQ:22,184,8,-137,-106
IQ:23,192,255,-72,33
IQ:24,200,7,120,-116
IQ:25,208,255,-93,-165
IQ:26,216,6,-22,4
IQ:27,224,255,-39,82
IQ:28,232,5,-15,70
IQ:29,240,255,-9,41
IQ:30,248,12,-91,175
IQ:31,256,255,102,95
IQ:32,264,1,-16,-32
IQ:33,272,255,-23,12
IQ:34,280,2,-43,-101
IQ:35,288,255,37,-13
IQ:0,0,11,131,73
IQ:1,8,11,54,-145
IQ:2,16,11,-156,-36
IQ:3,24,11,-20,149
IQ:4,32,11,154,19
IQ:5,40,11,13,-146
IQ:6,48,11,-156,1
IQ:7,56,11,14,157
IQ:8,72,12,-87,-40
IQ:9,80,255,-75,38
IQ:10,88,1,1,-49
IQ:11,96,255,35,-41
IQ:12,104,2,185,-129
IQ:13,112,255,-21,-96
IQ:14,120,10,89,124
IQ:15,128,255,181,-56
IQ:16,136,3,154,-192
IQ:17,144,255,-37,-105
IQ:18,152,9,124,7
IQ:19,160,255,99,-120
IQ:20,168,4,68,-144
IQ:21,176,255,-20,-50
IQ:22,184,8,153,15
IQ:23,192,255,39,-108
IQ:24,200,7,14,62
IQ:25,208,255,86,31
IQ:26,216,6,84,-20
IQ:27,224,255,24,-108
IQ:28,232,5,-37,-154
IQ:29,240,255,-73,-37
IQ:30,248,12,-6,-107
IQ:31,256,255,-56,-48
IQ:32,264,1,46,-24
IQ:33,272,255,61,18
IQ:34,280,2,181,133
IQ:35,288,255,84,-69
IQ:0,0,11,9,-204
IQ:1,8,11,-213,39
