0,1,2,3,4
IQ:0,0,11,82,186
IQ:1,8,11,168,-98
IQ:2,16,11,-124,-155
IQ:3,24,11,-161,143
IQ:4,32,11,147,144
IQ:5,40,11,119,-163
IQ:6,48,11,-177,-106
IQ:7,56,11,-111,181
IQ:8,72,12,5,-112
IQ:9,80,255,-142,-28
IQ:10,88,1,-18,105
IQ:11,96,255,99,32
IQ:12,104,2,-6,-30
IQ:13,112,255,-88,81
IQ:14,120,10,44,337
IQ:15,128,255,244,40
IQ:16,136,3,-82,-23
IQ:17,144,255,-142,148
IQ:18,152,9,9,307
IQ:19,160,255,212,17
IQ:20,168,4,-147,-87
IQ:21,176,255,-154,167
IQ:22,184,8,70,267
IQ:23,192,255,184,-72
IQ:24,200,7,-226,-170
IQ:25,208,255,-206,164
IQ:26,216,6,88,110
IQ:27,224,255,12,-118
IQ:28,232,5,-258,8
IQ:29,240,255,-60,213
IQ:30,248,12,97,-29
IQ:31,256,255,-19,-133
IQ:32,264,1,-100,31
IQ:33,272,255,-5,123
IQ:34,280,2,21,-4
IQ:35,288,255,-86,-35
IQ:0,0,11,-84,129
IQ:1,8,11,145,59
IQ:2,16,11,52,-149
IQ:3,24,11,-141,-60
IQ:4,32,11,-42,151
IQ:5,40,11,153,20
IQ:6,48,11,-6,-159
IQ:7,56,11,-157,6
IQ:8,72,12,99,-51
IQ:9,80,255,-43,-82
IQ:10,88,1,-91,131
IQ:11,96,255,65,95
IQ:12,104,2,-67,-92
IQ:13,112,255,-151,-16
IQ:14,120,10,-185,30
IQ:15,128,255,-46,88
IQ:16,136,3,-118,-136
IQ:17,144,255,-174,-4
IQ:18,152,9,-146,16
IQ:19,160,255,1,56
IQ:20,168,4,-23,-176
IQ:21,176,255,-162,-52
IQ:22,184,8,-135,56
IQ:23,192,255,51,107
IQ:24,200,7,124,-60
IQ:25,208,255,-38,-98
IQ:26,216,6,-21,62
IQ:27,224,255,70,-46
IQ:28,232,5,-54,-209
IQ:29,240,255,-168,13
IQ:30,248,12,82,84
IQ:31,256,255,61,-73
IQ:32,264,1,-151,-35
IQ:33,272,255,-69,94
IQ:34,280,2,80,-83
IQ:35,288,255,-58,-150
IQ:0,0,11,-106,127
IQ:1,8,11,147,73
IQ:2,16,11,61,-158
IQ:3,24,11,-168,-41
IQ:4,32,11,-37,156
IQ:5,40,11,161,19
IQ:6,48,11,3,-171
IQ:7,56,11,-179,1
IQ:8,72,12,212,-118
IQ:9,80,255,-42,-161
IQ:10,88,1,-2,109
IQ:11,96,255,71,11
IQ:12,104,2,-163,-110
IQ:13,112,255,-187,54
IQ:14,120,10,-168,83
IQ:15,128,255,-29,94
IQ:16,136,3,-244,-76
IQ:17,144,255,-193,87
IQ:18,152,9,-132,20
IQ:19,160,255,-6,12
IQ:20,168,4,-68,-227
IQ:21,176,255,-210,-36
IQ:22,184,8,-151,19
IQ:23,192,255,29,79
IQ:24,200,7,131,-116
IQ:25,208,255,-65,-110
IQ:26,216,6,6,72
IQ:27,224,255,93,-60
IQ:28,232,5,-78,-210
IQ:29,240,255,-161,44
IQ:30,248,12,167,151
IQ:31,256,255,133,-94
IQ:32,264,1,-96,29
IQ:33,272,255,7,63
IQ:34,280,2,52,-173
IQ:35,288,255,-137,-154
IQ:0,0,11,162,-9
IQ:1,8,11,-16,-166
IQ:2,16,11,-157,46
IQ:3,24,11,53,162
IQ:4,32,11,165,-50
IQ:5,40,11,-82,-148
IQ:6,48,11,-142,78
IQ:7,56,11,104,140
IQ:8,72,12,-220,-96
IQ:9,80,255,-108,114
IQ:10,88,1,89,-64
IQ:11,96,255,-32,-57
